Generacion: 1 totalA:234
N		 inicial		Aptitud		seleccion		cruza		mutacion		
8		01010			3.43			00000			00000			00000		
9		00000			2.50			01000			01000			01000		
10		00000			2.50			01000			01000			01000		
11		01000			1.00			00000			00000			00000		
12		00000			2.50			00000			00000			10000		
13		00000			2.50			00000			00000			00000		
14		00101			0.00			00000			00000			00000		
15		10010			10.41			10000			10010			10010		
16		00000			2.50			00010			00000			00000		
17		01000			1.00			01010			01000			01000		
18		00000			2.50			01000			01010			01010		
19		00001			1.41			01000			01000			01000		
20		00000			2.50			01000			01000			01000		
21		01011			6.00			00000			00000			00000		
22		00000			2.50			00000			00000			00000		
23		01000			1.00			10000			10000			10000		
24		10000			6.42			00000			00000			00000		
25		00000			2.50			01000			01000			01000		
26		10000			6.42			00000			00000			00000		
27		01000			1.00			00000			00000			00000		
28		00010			1.03			00000			00000			00000		
29		00000			2.50			00000			00000			10000		
30		00000			2.50			00000			00000			00100		
31		01000			1.00			00010			00000			00000		
32		10000			6.42			00000			00010			00010		
Generacion: 6 totalA:59010720
N		 inicial		Aptitud		seleccion		cruza		mutacion		
1		00000			2.50			00101			00000			00000		
2		00000			2.50			00000			00101			00101		
3		00000			2.50			00000			00000			00000		
4		00100			0.80			00000			00000			00000		
5		01000			1.00			01000			01000			01000		
6		01000			1.00			00000			00000			00000		
7		00000			2.50			00000			00000			00000		
8		01010			3.43			00000			00000			00000		
9		00000			2.50			01000			01000			01000		
10		00000			2.50			01000			01000			01000		
11		01000			1.00			00000			00000			00000		
12		00000			2.50			00000			00000			10000		
13		00000			2.50			00000			00000			00000		
14		00000			2.50			00000			00000			00000		
15		10010			10.41			10000			10010			10010		
16		00000			2.50			00010			00000			00000		
17		01000			1.00			01010			01000			01000		
18		00000			2.50			01000			01010			01010		
19		00000			2.50			01000			01000			01000		
20		00000			2.50			01000			01000			01000		
21		00101			0.00			00000			00000			00000		
22		00000			2.50			00000			00000			00000		
23		01000			1.00			10000			10000			10000		
24		10000			6.42			00000			00000			00000		
25		00000			2.50			01000			01000			01000		
26		10000			6.42			00000			00000			00000		
27		01000			1.00			00000			00000			00000		
28		00010			1.03			00000			00000			00000		
29		00000			2.50			00000			00000			10000		
30		00000			2.50			00000			00000			00100		
31		01000			1.00			00010			00000			00000		
32		10000			6.42			00000			00010			00010		
Generacion: 7 totalA:59010720
N		 inicial		Aptitud		seleccion		cruza		mutacion		
1		00000			2.50			00101			00000			00000		
2		00000			2.50			00000			00101			00101		
3		00000			2.50			00000			00000			00000		
4		00100			0.80			00000			00000			00000		
5		01000			1.00			01000			01000			01000		
6		01000			1.00			00000			00000			00000		
7		00000			2.50			00000			00000			00000		
8		01010			3.43			00000			00000			00000		
9		00000			2.50			01000			01000			01000		
10		00000			2.50			01000			01000			01000		
11		01000			1.00			00000			00000			00000		
12		00000			2.50			00000			00000			10000		
13		00000			2.50			00000			00000			00000		
14		00000			2.50			00000			00000			00000		
15		10010			10.41			10000			10010			10010		
16		00000			2.50			00010			00000			00000		
17		01000			1.00			01010			01000			01000		
18		00000			2.50			01000			01010			01010		
19		00000			2.50			01000			01000			01000		
20		00000			2.50			01000			01000			01000		
21		00101			0.00			00000			00000			00000		
22		00000			2.50			00000			00000			00000		
23		01000			1.00			10000			10000			10000		
24		10000			6.42			00000			00000			00000		
25		00000			2.50			01000			01000			01000		
26		10000			6.42			00000			00000			00000		
27		01000			1.00			00000			00000			00000		
28		00010			1.03			00000			00000			00000		
29		00000			2.50			00000			00000			10000		
30		00000			2.50			00000			00000			00100		
31		01000			1.00			00010			00000			00000		
32		10000			6.42			00000			00010			00010		
Generacion: 8 totalA:59010720
N		 inicial		Aptitud		seleccion		cruza		mutacion		
1		00000			2.50			00101			00000			00001		
2		00000			2.50			00000			00101			00101		
3		00000			2.50			00000			00000			00000		
4		00100			0.80			00000			00000			00000		
5		01000			1.00			01000			01000			01000		
6		01000			1.00			00000			00000			00000		
7		00000			2.50			00000			00000			00000		
8		01010			3.43			00000			00000			00001		
9		00000			2.50			01000			01000			01000		
10		00000			2.50			01000			01000			01000		
11		01000			1.00			00000			00000			00000		
12		00000			2.50			00000			00000			00000		
13		00000			2.50			00000			00000			00000		
14		00000			2.50			00000			00000			00000		
15		10010			10.41			10000			10010			10010		
16		00000			2.50			00010			00000			00000		
17		01000			1.00			01010			01000			01000		
18		00000			2.50			01000			01010			01010		
19		00000			2.50			01000			01000			01000		
20		00000			2.50			01000			01000			11000		
21		00101			0.00			00000			00000			00000		
22		00000			2.50			00000			00000			00000		
23		01000			1.00			10000			10000			10000		
24		10000			6.42			00000			00000			00000		
25		00000			2.50			01000			01000			01000		
26		10000			6.42			00000			00000			00000		
27		01000			1.00			00000			00000			00000		
28		00010			1.03			00000			00000			00000		
29		00000			2.50			00000			00000			00000		
30		00000			2.50			00000			00000			00000		
31		01000			1.00			00010			00000			00000		
32		10000			6.42			00000			00010			00010		
Generacion: 9 totalA:56897828
N		 inicial		Aptitud		seleccion		cruza		mutacion		
1		00000			2.50			00101			00000			00001		
2		01000			1.00			00000			00101			00101		
3		00000			2.50			00000			00001			00001		
4		00000			2.50			00001			00000			00000		
5		01010			3.43			01000			01000			01000		
6		01000			1.00			00000			00000			00000		
7		01000			1.00			00000			00000			00000		
8		00000			2.50			00000			00000			00001		
9		00000			2.50			01010			01000			01000		
10		00000			2.50			11000			11010			11010		
11		00000			2.50			00000			00000			00000		
12		01000			1.00			10000			10000			10000		
13		10010			10.41			00000			00000			00000		
14		00000			2.50			00000			00000			00000		
15		00000			2.50			00000			00010			00010		
16		00000			2.50			00010			00000			00000		
17		00001			1.41			01010			01000			01000		
18		01000			1.00			00000			00010			00010		
19		00000			2.50			01000			01000			01000		
20		00000			2.50			01000			01000			11000		
21		00000			2.50			00000			00000			00000		
22		01000			1.00			00000			00000			00000		
23		00000			2.50			10000			10000			10000		
24		00000			2.50			00000			00000			00000		
25		00010			1.03			01000			01000			01000		
26		00101			0.00			00000			00000			00000		
27		00000			2.50			00000			00000			00000		
28		00001			1.41			00000			00000			00000		
29		00000			2.50			00000			00000			00000		
30		11000			17.36			00000			00000			00000		
31		00000			2.50			00010			00000			00000		
