Generation: 1
N		 inicial		x^2		seleccion		cruza		mutacion		
1		10010			324			10110			10001			10001
1		11110			900			10001			10110			11110
1		00000			0			10010			10101			10101
1		00111			49			10101			10010			10010
1		10110			484			10101			10001			10001
1		10111			529			10001			10101			10101
1		11111			961			10101			10110			10110
1		10101			441			10110			10101			10101
1		11111			961			10001			10110			10110
1		00010			4			10110			10001			10001
1		11101			841			11000			11001			11001
1		10101			441			10001			10000			10000
1		10001			289			11110			11001			11001
1		10001			289			10001			10110			10110
1		10101			441			10110			10111			10111
1		10101			441			11111			11110			11110
1		00011			9			10001			10000			10010
1		10010			324			00000			00001			00001
1		10110			484			10110			10111			11111
1		11111			961			11111			11110			11110
1		11000			576			10010			10101			10101
1		00101			25			10101			10010			10010
1		10111			529			10101			10101			10101
1		10110			484			10101			10101			10101
1		10110			484			00101			00000			00000
1		10001			289			00000			00101			00101
1		10010			324			10110			10111			10111
1		11111			961			10111			10110			10110
1		11110			900			00010			00110			00110
1		10001			289			11110			11010			11010
Generation: 7
N		 inicial		x^2		seleccion		cruza		mutacion		
1		10110			484			10010			10010			10010
1		10101			441			10010			10010			10010
1		10001			289			10101			10110			10110
1		11110			900			10110			10101			10101
1		10101			441			10000			10010			10010
1		10010			324			10010			10000			10000
1		10001			289			10110			10010			10010
1		10101			441			10010			10110			10110
1		10110			484			10101			10010			10010
1		10101			441			10010			10101			10101
1		10110			484			11110			11110			11111
1		10001			289			10110			10110			10110
1		11001			625			11110			11101			11101
1		10000			256			10101			10110			10110
1		11001			625			10010			10110			10110
1		10110			484			10110			10010			10010
1		10111			529			10110			10101			10101
1		11110			900			10101			10110			10110
1		10010			324			10010			10010			10011
1		00001			1			10010			10010			10010
1		11111			961			10101			10001			10001
1		11110			900			11001			11101			11101
1		10101			441			10101			10111			10111
1		10010			324			10111			10101			11101
1		10101			441			10101			10101			10101
1		10101			441			10101			10101			10101
1		00000			0			10101			10001			10001
1		00101			25			10001			10101			10101
1		10111			529			10000			10110			10110
1		10110			484			10110			10000			10000
1		00110			36			10101			10001			10001
1		11010			676			00001			00101			00101
Generation: 8
N		 inicial		x^2		seleccion		cruza		mutacion		
1		10010			324			10111			10010			10010
1		10010			324			10010			10111			10111
1		10110			484			10010			10001			10001
1		10101			441			10001			10010			10010
1		10010			324			10101			10111			10111
1		10000			256			11111			11101			11101
1		10010			324			10010			10110			10110
1		10110			484			10110			10010			10010
1		10010			324			10101			10101			10101
1		10101			441			11101			11101			11101
1		11111			961			10001			10110			11110
1		10110			484			10110			10001			10001
1		11101			841			10110			10101			10101
1		10110			484			10101			10110			10110
1		10110			484			11101			11110			11110
1		10010			324			10110			10101			10101
1		10101			441			10101			10101			10101
1		10110			484			10101			10101			10101
1		10011			361			10110			10000			10010
1		10010			324			10000			10110			10110
1		10001			289			10010			10101			10111
1		11101			841			11101			11010			11010
1		10111			529			10110			10110			10110
1		11101			841			10110			10110			10110
1		10101			441			10010			10000			10000
1		10101			441			10000			10010			10010
1		10001			289			10101			10101			10101
1		10101			441			10101			10101			10101
1		10110			484			10101			10111			10111
1		10000			256			11111			11101			11101
1		10001			289			10101			10010			10010
1		00101			25			10010			10101			10101
Generation: 9
N		 inicial		x^2		seleccion		cruza		mutacion		
1		10010			324			10010			10010			10010
1		10111			529			10010			10010			10010
1		10001			289			10110			10101			10101
1		10010			324			10101			10110			11110
1		10111			529			10000			10101			10101
1		11101			841			11101			11000			11000
1		10110			484			11101			11111			11111
1		10010			324			10111			10101			10101
1		10101			441			10010			10111			10111
1		11101			841			10111			10010			10010
1		11110			900			10101			10110			11110
1		10001			289			11110			11101			11101
1		10101			441			10101			10110			10110
1		10110			484			11110			11101			11101
1		11110			900			10010			10010			10010
1		10101			441			11010			11010			11010
1		10101			441			10110			10111			10111
1		10101			441			10111			10110			10110
